CNPJ DO FUNDO;NOME DO FUNDO;CLASSE;CLASSE;TX. ADM;ADMINISTRADOR;GESTOR;CARÊNCIA;CONVERSÃO DE COTAS;DISP. REC. RESGATADO;TAXA_SAIDA;MOTIVO
13.707.891/0001-62;VIAJA BRASIL FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;FIP;FIP;1;MAXIMA S/A CCTVM;OAK ASSET - GESTÃO DE RECURSOS FINANCEIROS LTDA;0;(vide regulamento);(vide regulamento);0;FIP Vedado
13.748.601/0001-29;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA MEZANINO MARINE;FIP;FIP;0;INTRADER DTVM LTDA;MHFT INVESTIMENTOS S.A.;0;(vide regulamento);(vide regulamento);0;FIP Vedado
13.823.084/0001-05;SUL AMÉRICA CRÉDITO ATIVO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO;FI;Fundo de Renda Fixa;1;SUL AMERICA INVESTIMENTOS DTVM S.A.;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Não há.;D+29;D+30;0;CRI/CRA /
13.842.683/0001-76;VECTOR QUELUZ LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIARIO;FII;Fundo de Investimento Imobiliário;2;PLANNER CORRETORA DE VALORES SA;QUELUZ GESTÃO DE RECURSOS FINANCEIROS LTDA;0;0;0;0;FII - Negociação 60%
13.990.000/0001-28;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ITÁLIA;FIDC;FIDC;0;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;VILA RICA CAPITAL GESTORA DE RECURSOS LTDA;(vide regulamento);(vide regulamento);(vide regulamento);0;FIDC Vedado
14.051.028/0001-62;FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL;FIDC;FIDC;3;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;NOVA S.R.M. ADMINISTRAÇÃO DE RECURSOS E FINANÇAS S/A;Não há.;D+30;D+30;nd;FIDC Vedado
14.069.202/0001-02;AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;2;FOCO DTVM LTDA.;AQ3 ASSET MANAGEMENT LTDA;0;0;0;0;FII - Negociação 60%
14.074.721/0001-50;FIRENZE FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;2;FOCO DTVM LTDA.;AQ3 ASSET MANAGEMENT LTDA;0;0;0;0;FII - Negociação 60%
14.239.052/0001-20;FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - BRAZIL PLUS;FIDC;FIDC;0;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;RIVIERA GESTORA DE RECURSOS LTDA;Não há.;D+0;D+30;4;FIDC Vedado
14.332.061/0001-60;BRB PREMIUM FUNDO DE INVESTIMENTO MULTIMERCADO LONGO PRAZO;FI;Fundo Multimercado;0;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BRB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;Não há.;D+0;D+3;0;FII Vedado / FIP Vedado /
14.631.148/0001-39;HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;1;GRADUAL CCTVM S/A;TMJ CAPITAL GESTÃO DE RECURSOS LTDA;0;0;0;0;FII - Negociação 60%
14.655.180/0001-54;FUNDO DE INVESTIMENTO MULTIMERCADO SCULPTOR CRÉDITO PRIVADO;FI;Fundo Multimercado;2;GRADUAL CCTVM S/A;FMD GESTÃO DE RECURSOS S.A.;Não há.;D+1440;D+1441;30;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado / FIP Vedado /
14.721.044/0001-15;INFRA SANEAMENTO - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;FIP;FIP;2;GRADUAL CCTVM S/A;INFRA ASSET MANAGEMENT LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
15.078.010/0001-17;FUNDO DE INVESTIMENTO RENDA FIXA IMA-B ULTRA;FI;Fundo de Renda Fixa;1;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;VILA RICA CAPITAL GESTORA DE RECURSOS LTDA;Não há.;D+90;D+91;10;FIDC Vedado /
15.153.656/0001-11;FUNDO DE INVESTIMENTO RENDA FIXA MONTE CARLO INSTITUCIONAL IMA-B 5;FI;Fundo de Renda Fixa;1;FOCO DTVM LTDA.;ROMA ASSET MANAGEMENT LTDA;Não há.;D+1800;D+1801;50;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado / FIP Vedado /
15.190.417/0001-31;ÁTICO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM PARTICIPAÇÕES - ÁTICO FLORESTAL;FIP;FIP;0;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;ATICO ADMINISTRAÇÃO DE RECURSOS LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado
15.350.909/0001-47;VITÓRIA RÉGIA FUNDO DE INVESTIMENTO DE RENDA FIXA LONGO PRAZO;FI;Fundo de Renda Fixa;1;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;BRPP GESTÃO DE PRODUTOS ESTRUTURADOS LTDA.;Não há.;D+1460;D+1461;15;Ativo Vedado / FII Vedado /
15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS - FII;FII;Fundo de Investimento Imobiliário;1;ELITE CCVM LTDA;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;0;0;0;0;FII - Negociação 60%
15.711.367/0001-90;W7 FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES;FIP;FIP;2;PLANNER CORRETORA DE VALORES SA;A5 GESTÃO DE INVESTIMENTOS LTDA.;0;(vide regulamento);(vide regulamento);0;FIP Vedado
