TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FIDC;16.502.658/0001-31;2012-07-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.502.939/0001-94;2015-06-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.503.113/0001-40;2012-08-15;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;16.503.123/0001-85;2012-08-15;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;16.503.130/0001-87;2012-08-15;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;16.548.827/0001-74;2013-10-10;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;16.629.429/0001-82;2014-07-21;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;16.686.142/0001-94;2012-09-17;67.030.395/0001-46;PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
FIDC;16.829.910/0001-11;2012-11-22;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
FIDC;16.830.215/0001-70;2012-10-16;74.073.974/0001-31;ESTRATEGIA INVESTIMENTOS S/A CVC
FIDC;16.858.989/0001-09;2012-12-03;67.030.395/0001-46;PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
FIDC;16.874.770/0001-01;2012-11-21;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;16.915.948/0001-07;2012-11-19;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
FIDC;16.917.869/0001-35;2013-04-22;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
FIDC;16.954.024/0001-10;2012-12-03;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;16.959.151/0001-01;2013-01-22;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;16.959.261/0001-73;2012-11-16;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.975.604/0001-93;2013-01-07;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;16.975.634/0001-08;2013-02-22;33.868.597/0001-40;CITIBANK DTVM SA
FIDC;16.975.644/0001-35;2013-01-21;33.868.597/0001-40;CITIBANK DTVM SA
FIDC;16.989.925/0001-47;2012-11-21;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
