TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
FACFIF;05.592.162/0001-80;ALFA PRIVATE FLEX 033 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO INVEST QUALIFICADOS;2003-07-18;2003-07-18;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.592.155/0001-88;ALFA PRIVATE FLEX 034 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO INVEST QUALIFICADO;2003-08-26;2003-08-26;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.592.071/0001-44;ALFA PRIVATE FLEX 036 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-09-03;2003-09-03;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.707.490/0001-11;ALFA PRIVATE FLEX 037 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2001-12-21;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.172/0001-71;ALFA PRIVATE FLEX 038 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-09-04;2003-09-04;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.159/0001-12;ALFA PRIVATE FLEX 039 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-09-12;2003-09-12;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.894.356/0001-30;ALFA PRIVATE FLEX 040 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-10-02;2003-10-02;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.894.360/0001-06;ALFA PRIVATE FLEX 041 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-10-08;2003-10-08;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.894.370/0001-33;ALFA PRIVATE FLEX 042 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-10-17;2003-10-17;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.894.392/0001-01;ALFA PRIVATE FLEX 043 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO INVEST QUALIFICADO;2003-10-07;2003-10-07;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.167/0001-69;ALFA PRIVATE FLEX 045 - FUNDO DE APLICACAO EM QUOTAS DE FUNDO DE INVESTIMENTO FINANCEIRO;2003-10-29;2003-10-29;2004-09-30;CANCELADA;2004-09-30;;
FACFIF;06.015.869/0001-96;ALFA PRIVATE FLEX 046 - FUNDO DE APLICACAO EM QUOTAS DE FUNDO DE INVESTIMENTO FINANCEIRO;2003-12-16;2003-12-16;2005-01-04;CANCELADA;2005-01-04;;
